orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
102685 :: 1001 :: 302712 :: 208811 :: 2000-06-19 :: 1
102702 :: 1002 :: 302504 :: 265204 :: 2000-06-19 :: 1
102703 :: 1011 :: 301490 :: 212680 :: 2000-06-19 :: 1
102704 :: 1008 :: 301849 :: 237871 :: 2000-06-19 :: 1
102705 :: 1012 :: 312792 :: 281633 :: 2000-06-19 :: 1
102708 :: 1008 :: 310519 :: 200223 :: 2000-06-20 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
102733 :: 1009 :: 306597 :: 280903 :: 2000-06-21 :: 1
102772 :: 1010 :: 310661 :: 202684 :: 2000-06-24 :: 1
102781 :: 1011 :: 300975 :: 262591 :: 2000-06-24 :: 1
102810 :: 1004 :: 306872 :: 216936 :: 2000-06-26 :: 1
102813 :: 1003 :: 304316 :: 231120 :: 2000-06-26 :: 1
102819 :: 1008 :: 314931 :: 205366 :: 2000-06-27 :: 1
102852 :: 1013 :: 309634 :: 211742 :: 2000-06-29 :: 1
102857 :: 1017 :: 312944 :: 252541 :: 2000-06-29 :: 1
102866 :: 1018 :: 301791 :: 281907 :: 2000-06-30 :: 1
102884 :: 1005 :: 302515 :: 202863 :: 2000-07-01 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
102885 :: 1003 :: 311812 :: 262434 :: 2000-07-01 :: 1
102895 :: 1001 :: 303658 :: 248736 :: 2000-07-02 :: 1
102908 :: 1017 :: 311335 :: 277969 :: 2000-07-02 :: 1
102929 :: 1003 :: 313840 :: 248976 :: 2000-07-03 :: 1
102966 :: 1014 :: 307350 :: 273769 :: 2000-07-06 :: 1
102979 :: 1002 :: 310707 :: 245935 :: 2000-07-07 :: 1
102981 :: 1016 :: 300969 :: 229977 :: 2000-07-07 :: 1
102990 :: 1017 :: 311182 :: 218499 :: 2000-07-07 :: 1
103002 :: 1007 :: 314612 :: 262914 :: 2000-07-08 :: 1
103013 :: 1014 :: 312975 :: 286034 :: 2000-07-09 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
103014 :: 1004 :: 311919 :: 280413 :: 2000-07-09 :: 1
103020 :: 1015 :: 314435 :: 279293 :: 2000-07-09 :: 1
103023 :: 1012 :: 301260 :: 289231 :: 2000-07-09 :: 1
103037 :: 1003 :: 300001 :: 256405 :: 2000-07-10 :: 1
103044 :: 1007 :: 314224 :: 200683 :: 2000-07-10 :: 1
103061 :: 1016 :: 303813 :: 236645 :: 2000-07-12 :: 1
103067 :: 1002 :: 312295 :: 208356 :: 2000-07-12 :: 1
103076 :: 1018 :: 305946 :: 273519 :: 2000-07-13 :: 1
103082 :: 1006 :: 304400 :: 235700 :: 2000-07-13 :: 1
103102 :: 1002 :: 313472 :: 217591 :: 2000-07-14 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
103112 :: 1007 :: 310530 :: 254931 :: 2000-07-15 :: 1
103113 :: 1018 :: 301169 :: 203432 :: 2000-07-15 :: 1
103115 :: 1002 :: 310165 :: 261264 :: 2000-07-15 :: 1
103130 :: 1001 :: 302907 :: 270073 :: 2000-07-16 :: 1
103155 :: 1017 :: 308450 :: 228628 :: 2000-07-18 :: 1
103162 :: 1016 :: 301072 :: 248550 :: 2000-07-18 :: 1
103169 :: 1004 :: 304477 :: 233693 :: 2000-07-18 :: 1
103188 :: 1016 :: 304649 :: 202053 :: 2000-07-19 :: 1
103211 :: 1010 :: 306779 :: 228378 :: 2000-07-21 :: 1
103231 :: 1014 :: 304829 :: 270771 :: 2000-07-22 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
103233 :: 1015 :: 314814 :: 266211 :: 2000-07-22 :: 1
103243 :: 1001 :: 313231 :: 283156 :: 2000-07-24 :: 1
103248 :: 1005 :: 303742 :: 279522 :: 2000-07-24 :: 1
103260 :: 1001 :: 309970 :: 284041 :: 2000-07-24 :: 1
103264 :: 1018 :: 313124 :: 241011 :: 2000-07-25 :: 1
103284 :: 1001 :: 308414 :: 204375 :: 2000-07-26 :: 1
103287 :: 1018 :: 307942 :: 269612 :: 2000-07-26 :: 1
103309 :: 1003 :: 309886 :: 275215 :: 2000-07-28 :: 1
103315 :: 1006 :: 304423 :: 278658 :: 2000-07-28 :: 1
103342 :: 1001 :: 305055 :: 216127 :: 2000-07-29 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
103346 :: 1010 :: 305499 :: 285150 :: 2000-07-30 :: 1
103350 :: 1002 :: 304057 :: 286662 :: 2000-07-30 :: 1
103357 :: 1014 :: 302251 :: 204326 :: 2000-07-30 :: 1
103362 :: 1001 :: 301277 :: 219724 :: 2000-07-31 :: 1
103377 :: 1005 :: 302092 :: 238318 :: 2000-08-01 :: 1
103378 :: 1012 :: 301309 :: 205777 :: 2000-08-01 :: 1
103442 :: 1002 :: 303554 :: 205643 :: 2000-08-05 :: 1
103443 :: 1017 :: 312187 :: 268534 :: 2000-08-05 :: 1
103451 :: 1001 :: 302410 :: 242936 :: 2000-08-05 :: 1
103457 :: 1018 :: 305432 :: 210333 :: 2000-08-06 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
103468 :: 1006 :: 305094 :: 218041 :: 2000-08-06 :: 1
103471 :: 1002 :: 300172 :: 201212 :: 2000-08-06 :: 1
103486 :: 1013 :: 313667 :: 220833 :: 2000-08-07 :: 1
103505 :: 1007 :: 302698 :: 228740 :: 2000-08-08 :: 1
103506 :: 1003 :: 314033 :: 206502 :: 2000-08-08 :: 1
103534 :: 1007 :: 304032 :: 214105 :: 2000-08-10 :: 1
103545 :: 1015 :: 302023 :: 282588 :: 2000-08-11 :: 1
103551 :: 1008 :: 300388 :: 265903 :: 2000-08-11 :: 1
103568 :: 1013 :: 300276 :: 261006 :: 2000-08-12 :: 1
103569 :: 1013 :: 306350 :: 219533 :: 2000-08-12 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
103579 :: 1002 :: 300230 :: 242370 :: 2000-08-13 :: 1
103589 :: 1004 :: 314944 :: 272963 :: 2000-08-13 :: 1
103595 :: 1007 :: 300972 :: 227932 :: 2000-08-14 :: 1
103612 :: 1005 :: 314798 :: 257142 :: 2000-08-15 :: 1
103630 :: 1011 :: 311893 :: 215293 :: 2000-08-16 :: 1
103632 :: 1006 :: 305904 :: 205383 :: 2000-08-16 :: 1
103676 :: 1004 :: 314354 :: 213931 :: 2000-08-20 :: 1
103734 :: 1002 :: 308294 :: 250584 :: 2000-08-24 :: 1
103736 :: 1014 :: 305093 :: 282129 :: 2000-08-24 :: 1
103756 :: 1008 :: 307123 :: 265567 :: 2000-08-25 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
103757 :: 1007 :: 311034 :: 207217 :: 2000-08-25 :: 1
103759 :: 1001 :: 305667 :: 257181 :: 2000-08-25 :: 1
103764 :: 1013 :: 307144 :: 259354 :: 2000-08-26 :: 1
103766 :: 1001 :: 309154 :: 203683 :: 2000-08-26 :: 1
103777 :: 1009 :: 305002 :: 281491 :: 2000-08-26 :: 1
103785 :: 1010 :: 314626 :: 203734 :: 2000-08-27 :: 1
103800 :: 1012 :: 314655 :: 233179 :: 2000-08-29 :: 1
103822 :: 1015 :: 311828 :: 249962 :: 2000-08-30 :: 1
103823 :: 1002 :: 313046 :: 200206 :: 2000-08-30 :: 1
103828 :: 1014 :: 301543 :: 236106 :: 2000-08-30 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
103839 :: 1010 :: 302568 :: 217442 :: 2000-08-31 :: 1
103841 :: 1010 :: 305745 :: 255756 :: 2000-08-31 :: 1
103845 :: 1008 :: 303496 :: 273186 :: 2000-08-31 :: 1
103856 :: 1008 :: 310716 :: 216216 :: 2000-09-01 :: 1
103857 :: 1010 :: 303959 :: 215505 :: 2000-09-01 :: 1
103862 :: 1006 :: 300851 :: 201610 :: 2000-09-01 :: 1
103881 :: 1016 :: 308798 :: 272221 :: 2000-09-03 :: 1
103885 :: 1013 :: 310830 :: 232288 :: 2000-09-03 :: 1
103892 :: 1013 :: 311770 :: 249996 :: 2000-09-03 :: 1
103923 :: 1002 :: 310455 :: 281386 :: 2000-09-05 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
103958 :: 1003 :: 309669 :: 275241 :: 2000-09-07 :: 1
103960 :: 1015 :: 307398 :: 232596 :: 2000-09-07 :: 1
103961 :: 1007 :: 302856 :: 257003 :: 2000-09-07 :: 1
103987 :: 1009 :: 306753 :: 251672 :: 2000-09-09 :: 1
103996 :: 1001 :: 311053 :: 231576 :: 2000-09-09 :: 1
104007 :: 1012 :: 310389 :: 200565 :: 2000-09-10 :: 1
104009 :: 1011 :: 302206 :: 204135 :: 2000-09-10 :: 1
104016 :: 1003 :: 314428 :: 220765 :: 2000-09-11 :: 1
104045 :: 1003 :: 314314 :: 258870 :: 2000-09-13 :: 1
104055 :: 1010 :: 304326 :: 214647 :: 2000-09-13 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
104064 :: 1018 :: 304617 :: 205052 :: 2000-09-13 :: 1
104066 :: 1002 :: 305818 :: 225318 :: 2000-09-13 :: 1
104068 :: 1005 :: 302210 :: 288325 :: 2000-09-14 :: 1
104083 :: 1012 :: 313934 :: 288207 :: 2000-09-15 :: 1
104101 :: 1001 :: 312813 :: 249815 :: 2000-09-16 :: 1
104106 :: 1017 :: 305461 :: 238095 :: 2000-09-16 :: 1
104114 :: 1007 :: 301577 :: 279974 :: 2000-09-17 :: 1
104117 :: 1001 :: 310942 :: 279608 :: 2000-09-17 :: 1
104131 :: 1008 :: 312283 :: 276361 :: 2000-09-18 :: 1
104153 :: 1013 :: 311780 :: 268976 :: 2000-09-19 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
104154 :: 1011 :: 314219 :: 272225 :: 2000-09-19 :: 1
104172 :: 1017 :: 309115 :: 272819 :: 2000-09-20 :: 1
104176 :: 1006 :: 313578 :: 279974 :: 2000-09-20 :: 1
104197 :: 1003 :: 303394 :: 215267 :: 2000-09-22 :: 1
104217 :: 1001 :: 309561 :: 252465 :: 2000-09-24 :: 1
104235 :: 1001 :: 309162 :: 278591 :: 2000-09-25 :: 1
104248 :: 1016 :: 301487 :: 253019 :: 2000-09-26 :: 1
104398 :: 1011 :: 314830 :: 216143 :: 2000-10-05 :: 1
104402 :: 1015 :: 308127 :: 219602 :: 2000-10-05 :: 1
104403 :: 1001 :: 313570 :: 267151 :: 2000-10-05 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
104428 :: 1001 :: 313614 :: 211494 :: 2000-10-07 :: 1
104470 :: 1007 :: 300990 :: 228048 :: 2000-10-10 :: 1
104480 :: 1012 :: 305075 :: 261857 :: 2000-10-10 :: 1
104489 :: 1003 :: 310239 :: 272068 :: 2000-10-11 :: 1
104490 :: 1006 :: 311689 :: 218215 :: 2000-10-11 :: 1
104497 :: 1016 :: 309948 :: 233156 :: 2000-10-12 :: 1
104499 :: 1012 :: 310606 :: 280010 :: 2000-10-12 :: 1
104502 :: 1001 :: 307813 :: 284747 :: 2000-10-12 :: 1
104505 :: 1006 :: 313414 :: 273311 :: 2000-10-13 :: 1
104539 :: 1012 :: 312958 :: 241491 :: 2000-10-14 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
104574 :: 1009 :: 304802 :: 283099 :: 2000-10-17 :: 1
104585 :: 1009 :: 303939 :: 205103 :: 2000-10-18 :: 1
104602 :: 1001 :: 303278 :: 287665 :: 2000-10-20 :: 1
104603 :: 1005 :: 300083 :: 282315 :: 2000-10-20 :: 1
104620 :: 1005 :: 309788 :: 265523 :: 2000-10-21 :: 1
104635 :: 1015 :: 300883 :: 202629 :: 2000-10-22 :: 1
104641 :: 1014 :: 313521 :: 222401 :: 2000-10-23 :: 1
104659 :: 1015 :: 312867 :: 219011 :: 2000-10-24 :: 1
104670 :: 1010 :: 312539 :: 200178 :: 2000-10-25 :: 1
104677 :: 1006 :: 311192 :: 200199 :: 2000-10-25 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
104686 :: 1014 :: 307755 :: 250929 :: 2000-10-26 :: 1
104746 :: 1003 :: 307831 :: 229531 :: 2000-10-29 :: 1
104747 :: 1001 :: 311824 :: 274453 :: 2000-10-29 :: 1
104759 :: 1004 :: 301863 :: 237766 :: 2000-10-30 :: 1
104761 :: 1007 :: 309388 :: 202829 :: 2000-10-30 :: 1
104785 :: 1016 :: 311125 :: 255082 :: 2000-11-01 :: 1
104793 :: 1009 :: 311722 :: 213561 :: 2000-11-02 :: 1
104803 :: 1010 :: 301892 :: 272892 :: 2000-11-02 :: 1
104813 :: 1012 :: 312781 :: 265321 :: 2000-11-02 :: 1
104847 :: 1017 :: 309278 :: 221486 :: 2000-11-04 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
104876 :: 1001 :: 308284 :: 287474 :: 2000-11-07 :: 1
104893 :: 1007 :: 313865 :: 202876 :: 2000-11-08 :: 1
104898 :: 1015 :: 314727 :: 257709 :: 2000-11-08 :: 1
104911 :: 1018 :: 301837 :: 215926 :: 2000-11-09 :: 1
104939 :: 1007 :: 307848 :: 210690 :: 2000-11-11 :: 1
104948 :: 1013 :: 307720 :: 202649 :: 2000-11-11 :: 1
104954 :: 1001 :: 308691 :: 244083 :: 2000-11-12 :: 1
105015 :: 1014 :: 306610 :: 268268 :: 2000-11-17 :: 1
105026 :: 1010 :: 302528 :: 222457 :: 2000-11-18 :: 1
105031 :: 1017 :: 311583 :: 235966 :: 2000-11-18 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
105039 :: 1010 :: 313030 :: 213286 :: 2000-11-19 :: 1
105054 :: 1003 :: 313716 :: 219656 :: 2000-11-20 :: 1
105077 :: 1002 :: 313310 :: 203138 :: 2000-11-21 :: 1
105084 :: 1001 :: 312404 :: 223458 :: 2000-11-22 :: 1
